Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
18,K244,P.S. 244 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Design,Complete,4/17/2024,9/18/2024,11/4/2024,57000,70724.00,69184.00,DSF0001035494
18,K244,P.S. 244 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,836000,836000.00,6253.00,DSF0001035494
18,K244,P.S. 244 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,57000,57000.00,6800.00,DSF0001035494
18,K244,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,SCA CIP RESOA,FY24 RESO A IPDVS CAMERA INSTALLATION,Scope,Complete,10/30/2023,3/4/2024,11/1/2023,0,3010.00,3010.00,DSF0001086043
18,K244,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,SCA CIP RESOA,FY24 RESO A IPDVS CAMERA INSTALLATION,Design,Complete,11/1/2023,4/30/2024,3/20/2024,12329,12039.00,12039.00,DSF0001086043
18,K244,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,SCA CIP RESOA,FY24 RESO A IPDVS CAMERA INSTALLATION,Construction,In-Progress,11/1/2024,8/27/2025,,180827,102777.00,60456.00,DSF0001086043
18,K244,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,SCA CIP RESOA,FY24 RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,11/1/2024,8/27/2025,,68689,69171.00,11188.00,DSF0001086043
18,K244,P.S. 244 - BROOKLYN,DIIT - Project Connect,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,11/1/2019,DIIT,,DIIT,276128.00,0.00,DSF0000959855
18,K244,P.S. 244 - BROOKLYN,DIIT - RESOA,FY15 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Purch & Install,PNS,PNS,PNS,PNS,DIIR,271277.00,0.00,DSF0000801008
18,K244,P.S. 244 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/13/2025,DIIR,6/12/2025,DIIR,100000.00,100000.00,DSF0001112647
18,K244,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001163925
18,K244,P.S. 244 - BROOKLYN,DOE - RESOA,FY21 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,9/21/2021,DOER,,DOER,188847.00,0.00,DSF0001008320
18,K244,P.S. 244 - BROOKLYN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,3/13/2024,DOER,,DOER,300000.00,0.00,DSF0001086042
18,K244,P.S. 244 - BROOKLYN,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,12/8/2021,DOES,,DOES,59232.00,317139.00,DSF0001013421
18,K252,MIDDLE SCHOOL FOR ART & PHILOS - K,SCA CIP,FLOOD ELIMINATION,Scope,Complete,3/1/2024,7/17/2024,10/3/2024,48520,140170.00,110011.00,DSF0001091948
18,K252,MIDDLE SCHOOL FOR ART & PHILOS - K,SCA CIP,FLOOD ELIMINATION,Design,Complete,10/30/2024,4/4/2025,4/15/2025,226428,174290.00,132323.00,DSF0001091948
18,K252,MIDDLE SCHOOL FOR ART & PHILOS - K,SCA CIP,FLOOD ELIMINATION,Construction,In-Progress,8/18/2025,2/3/2028,,3590504,3319477.00,20328.00,DSF0001091948
18,K252,MIDDLE SCHOOL FOR ART & PHILOS - K,SCA CIP,FLOOD ELIMINATION,"CM,F&E",In-Progress,8/18/2025,2/3/2028,,355816,57172.00,55858.00,DSF0001091948
18,K252,MIDDLE SCHOOL FOR ART & PHILOS - K,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,2/22/2022,DOER,,DOER,316605.00,0.00,DSF0001033594
18,K252,MIDDLE SCHOOL FOR ART & PHILOS - K,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,300000.00,0.00,DSF0001112651
18,K268,P.S. 268 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,6/1/2022,11/25/2022,8/30/2022,145999,184496.00,147976.00,"DSF0001013798, DSF0001013799, DSF0001013800, DSF0001013801"
18,K268,P.S. 268 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,9/29/2022,6/12/2023,3/15/2023,730000,451994.00,451994.00,"DSF0001013798, DSF0001013799, DSF0001013800, DSF0001013801"
18,K268,P.S. 268 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,Complete,9/5/2023,9/3/2025,9/3/2025,16425001,15371179.00,13142569.00,"DSF0001013798, DSF0001013799, DSF0001013800, DSF0001013801"
18,K268,P.S. 268 - BROOKLYN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",Complete,9/5/2023,9/3/2025,9/3/2025,1023032,722031.00,699291.00,"DSF0001013798, DSF0001013799, DSF0001013800, DSF0001013801"
18,K268,P.S. 268 - BROOKLYN,SCA IEH,PO18-PERFORM ABATEMENT BASEMENT B29 & STORAGE AREA INSULATION TO BE ABATED,Construction,In-Progress,9/10/2025,IEH,,IEH,785.00,35.00,SCA0000074898
18,K268,P.S. 268 - BROOKLYN,DIIT - RESOA,FY09 RESO A IP SURVEILLANCE CAMERA,Purch & Install,PNS,PNS,PNS,PNS,DIIR,193893.00,0.00,DSF0000623076
18,K268,P.S. 268 - BROOKLYN,DOE - RESOA,FY25 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,375000.00,0.00,DSF0001112659
18,K272,P.S. 272 - BROOKLYN,SCA CIP RESOA,FY23 RESO A MULTIMEDIA CENTER / PATH OF TRAVEL RESO A MULTIMEDIA CENTER,Scope,Complete,2/6/2023,6/7/2023,5/19/2023,0,24801.00,24801.00,"DSF0001035513, DSF0001035514"
18,K272,P.S. 272 - BROOKLYN,SCA CIP RESOA,FY23 RESO A MULTIMEDIA CENTER / PATH OF TRAVEL RESO A MULTIMEDIA CENTER,Design,Complete,5/19/2023,10/3/2023,10/16/2023,69000,74850.00,74850.00,"DSF0001035513, DSF0001035514"
18,K272,P.S. 272 - BROOKLYN,SCA CIP RESOA,FY23 RESO A MULTIMEDIA CENTER / PATH OF TRAVEL RESO A MULTIMEDIA CENTER,Construction,Complete,5/9/2024,4/3/2025,4/3/2025,1012000,542138.00,376295.00,"DSF0001035513, DSF0001035514"
18,K272,P.S. 272 - BROOKLYN,SCA CIP RESOA,FY23 RESO A MULTIMEDIA CENTER / PATH OF TRAVEL RESO A MULTIMEDIA CENTER,"CM,F&E",Complete,5/9/2024,4/3/2025,4/3/2025,140474,132263.00,59736.00,"DSF0001035513, DSF0001035514"
18,K272,P.S. 272 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001112663
18,K272,P.S. 272 - BROOKLYN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,350000.00,0.00,DSF0001163987
18,K272,P.S. 272 - BROOKLYN,DOE - RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Construction,In-Progress,12/22/2017,DOER,,DOER,117988.00,0.00,DSF0000844853
18,K272,P.S. 272 - BROOKLYN,DOE - RESOA,RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001113752
18,K272,P.S. 272 - BROOKLYN,DOE - RESOA,RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,350000.00,0.00,DSF0001114418
18,K276,P.S. 276 - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE,Scope,Complete,1/22/2025,4/22/2025,6/16/2025,25964,56550.00,17792.00,DSF0001120056
18,K276,P.S. 276 - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE,Design,In-Progress,6/30/2025,11/14/2025,,121164,121164.00,10768.00,DSF0001120056
18,K276,P.S. 276 - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1921310,1921310.00,0.00,DSF0001120056
18,K276,P.S. 276 - BROOKLYN,SCA CIP,PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,190400,190400.00,6406.00,DSF0001120056
18,K276,P.S. 276 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,Complete,5/14/2025,8/14/2025,8/7/2025,1575,292.00,292.00,DSF0001114048
18,K276,P.S. 276 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,Design,In-Progress,8/18/2025,12/22/2025,,6298,6298.00,1168.00,DSF0001114048
18,K276,P.S. 276 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,90538,90538.00,0.00,DSF0001114048
18,K276,P.S. 276 - BROOKLYN,SCA CIP,PATH OF TRAVEL PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,23225,23225.00,1171.00,DSF0001114048
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,FY23 RESO A (MA) CAFETERIA UPGRADE,Scope,Complete,1/27/2023,5/30/2023,5/16/2023,0,8529.00,8529.00,DSF0001035518
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,FY23 RESO A (MA) CAFETERIA UPGRADE,Design,In-Progress,5/24/2023,10/11/2023,,44958,36429.00,1039.00,DSF0001035518
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,FY23 RESO A (MA) CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,659391,509509.00,5335.00,DSF0001035518
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,FY23 RESO A (MA) CAFETERIA UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,44958,34739.00,419.00,DSF0001035518
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A CAFETERIA UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035519
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A CAFETERIA UPGRADE,Design,PNS,PNS,PNS,PNS,42,42.00,0.00,DSF0001035519
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,609,0.00,0.00,DSF0001035519
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A CAFETERIA UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,42,1281.00,1281.00,DSF0001035519
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113585
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113585
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113585
18,K276,P.S. 276 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113585
18,K276,P.S. 276 - BROOKLYN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,550000.00,0.00,DSF0001163120
18,K276,P.S. 276 - BROOKLYN,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,6/25/2021,DOER,,DOER,249133.00,0.00,DSF0000913257
18,K276,P.S. 276 - BROOKLYN,DOE - RESOA,FY22 RESO A CAFETERIA UPGRADE,Construction,In-Progress,4/10/2023,DOER,,DOER,105321.00,0.00,DSF0001033530
18,K276,P.S. 276 - BROOKLYN,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,In-Progress,5/1/2024,DOER,,DOER,225594.00,0.00,DSF0001086063
18,K276,P.S. 276 - BROOKLYN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001112665
18,K279,P.S. 279 - BROOKLYN,SCA CIP,BACKFLOW PREVENTION DEVICES,Scope,Complete,3/12/2018,7/10/2018,10/16/2018,22500,31671.00,31671.00,DSF0000888831
18,K279,P.S. 279 - BROOKLYN,SCA CIP,BACKFLOW PREVENTION DEVICES,Design,Complete,11/14/2018,5/13/2019,5/10/2019,82500,133846.00,132226.00,DSF0000888831
18,K279,P.S. 279 - BROOKLYN,SCA CIP,BACKFLOW PREVENTION DEVICES,Construction,In-Progress,7/22/2019,7/15/2020,,873750,805424.00,610343.00,DSF0000888831
18,K279,P.S. 279 - BROOKLYN,SCA CIP,BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,7/22/2019,7/15/2020,,202500,123181.00,121239.00,DSF0000888831
18,K279,P.S. 279 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY,Scope,Complete,6/18/2024,11/4/2024,12/11/2024,152807,118198.00,107686.00,"DSF0001064739, DSF0001120102"
18,K279,P.S. 279 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY,Design,Complete,1/15/2025,6/17/2025,7/11/2025,708339,283233.00,268458.00,"DSF0001064739, DSF0001120102"
18,K279,P.S. 279 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,11189887,11189887.00,8879.00,"DSF0001064739, DSF0001120102"
18,K279,P.S. 279 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,1173560,1173560.00,73469.00,"DSF0001064739, DSF0001120102"
18,K279,P.S. 279 - BROOKLYN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001112668
18,K279,P.S. 279 - BROOKLYN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001163124
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113730
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,3000,3000.00,0.00,DSF0001113730
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,44000,44000.00,0.00,DSF0001113730
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,3000,3000.00,0.00,DSF0001113730
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL SCIENCE LAB UPGRADES / FY20 RESO A SCIENCE LAB UPGRADES,Scope,Complete,4/6/2021,11/9/2023,10/18/2023,0,41748.00,35983.00,"DSF0000913264, DSF0000913265"
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL SCIENCE LAB UPGRADES / FY20 RESO A SCIENCE LAB UPGRADES,Design,Complete,10/18/2023,2/20/2024,12/2/2024,126000,135841.00,98991.00,"DSF0000913264, DSF0000913265"
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL SCIENCE LAB UPGRADES / FY20 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,1848000,1848000.00,11997.00,"DSF0000913264, DSF0000913265"
18,K285,I.S. 285 - BROOKLYN,SCA CIP RESOA,FY20 RESO A PATH OF TRAVEL SCIENCE LAB UPGRADES / FY20 RESO A SCIENCE LAB UPGRADES,"CM,F&E",PNS,PNS,PNS,PNS,126000,136532.00,42099.00,"DSF0000913264, DSF0000913265"
18,K285,I.S. 285 - BROOKLYN,SCA IEH,"PO18-PERFORM ACM TESTING: RMS: 120, 143, 154, 201, 204, 220 - POSITIVE FOR 9X9 TILES",Construction,Complete,4/28/2025,IEH,5/20/2025,IEH,156503.00,3030.00,SCA0000074198
18,K285,I.S. 285 - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,125000.00,0.00,DSF0001033535
18,K285,I.S. 285 - BROOKLYN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,200000.00,0.00,DSF0001163127
18,K285,I.S. 285 - BROOKLYN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/26/2024,DOER,,DOER,211061.00,0.00,DSF0001035526
18,K285,I.S. 285 - BROOKLYN,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,450000.00,0.00,DSF0001112670
18,K285,I.S. 285 - BROOKLYN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2/23/2024,DOES,,DOES,643419.00,0.00,DSF0001085725
18,K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL - K,DOE - RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,750000.00,0.00,DSF0001086100
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,SWIMMING POOL,Scope,Complete,6/11/2019,12/9/2019,11/27/2019,235000,244756.00,244756.00,DSF0000912525
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,SWIMMING POOL,Design,Complete,3/4/2021,7/23/2021,5/6/2022,1175000,1149837.00,1058915.00,DSF0000912525
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,SWIMMING POOL,Construction,In-Progress,9/12/2022,9/10/2024,,26437500,24608741.00,21166006.00,DSF0000912525
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,SWIMMING POOL,"CM,F&E",In-Progress,9/12/2022,9/10/2024,,1645000,1207147.00,1154085.00,DSF0000912525
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,CAFETERIA UPGRADE / PATH OF TRAVEL CAFETERIA UPGRADE,Scope,Complete,1/5/2022,12/15/2022,1/19/2023,24690,69755.00,69755.00,"DSF0001034316, DSF0001034999"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,CAFETERIA UPGRADE / PATH OF TRAVEL CAFETERIA UPGRADE,Design,Complete,1/24/2023,5/24/2023,3/15/2023,122212,285454.00,281195.00,"DSF0001034316, DSF0001034999"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,CAFETERIA UPGRADE / PATH OF TRAVEL CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,2642467,2642467.00,67518.00,"DSF0001034316, DSF0001034999"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,CAFETERIA UPGRADE / PATH OF TRAVEL CAFETERIA UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,182137,182137.00,62124.00,"DSF0001034316, DSF0001034999"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,RESO A- CULINARY ARTS KITCHEN / PATH OF TRAVEL RESO A KITCHEN UPGRADE / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,11/30/2022,11/13/2023,11/30/2023,61605,77014.00,71249.00,"DSF0000960977, DSF0001035566, DSF0001085800"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,RESO A- CULINARY ARTS KITCHEN / PATH OF TRAVEL RESO A KITCHEN UPGRADE / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,11/30/2023,2/15/2024,4/23/2024,307087,460239.00,303298.00,"DSF0000960977, DSF0001035566, DSF0001085800"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,RESO A- CULINARY ARTS KITCHEN / PATH OF TRAVEL RESO A KITCHEN UPGRADE / FIRE ALARM SYSTEM REPLACEMENT,Construction,In-Progress,10/4/2024,10/3/2026,,6828645,6305979.00,827962.00,"DSF0000960977, DSF0001035566, DSF0001085800"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA CIP,RESO A- CULINARY ARTS KITCHEN / PATH OF TRAVEL RESO A KITCHEN UPGRADE / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",In-Progress,10/4/2024,10/3/2026,,438238,338275.00,319195.00,"DSF0000960977, DSF0001035566, DSF0001085800"
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,Scope,Complete,1/5/2024,6/20/2024,7/1/2024,0,15893.00,15893.00,"DSF0001086114, DSF0001086115, DSF0001087029, DSF0001087030"
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,Design,Complete,7/1/2024,11/1/2024,11/13/2024,60455,54090.00,52238.00,"DSF0001086114, DSF0001086115, DSF0001087029, DSF0001087030"
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,886684,896248.00,64278.00,"DSF0001086114, DSF0001086115, DSF0001087029, DSF0001087030"
18,K415,KURT HAHN EXPED LEARNING SCH - K,SCA CIP RESOA,FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,"CM,F&E",PNS,PNS,PNS,PNS,60455,90533.00,45459.00,"DSF0001086114, DSF0001086115, DSF0001087029, DSF0001087030"
18,K415,IT TAKES A VILLAGE ACADEMY - K,SCA IEH,PO18-ABATE/REPAIR OR REPLACE MULTIPLE BUILDING MATERIALS IN VARIOUS LOCATIONS P.S. RESPONSE ACTION -,Construction,In-Progress,7/30/2025,IEH,,IEH,891.00,141.00,SCA0000074536
18,K415,IT TAKES A VILLAGE ACADEMY - K,Fast Track Projects,CTF ROOM CONVERSION / PATH OF TRAVEL CTF ROOM CONVERSION,Construction,In-Progress,5/17/2024,FTK,,FTK,1643675.00,1492344.00,"DSF0001034931, DSF0001083861"
18,K415,IT TAKES A VILLAGE ACADEMY - K,Fast Track Projects,LSP- GYM UPGRADE,Construction,In-Progress,8/16/2022,FTK,,FTK,515875.00,515843.00,DSF0001015200
18,K415,IT TAKES A VILLAGE ACADEMY - K,Fast Track Projects,FY21 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,6/19/2023,FTK,,FTK,26538.00,26509.00,DSF0001008321
18,K415,IT TAKES A VILLAGE ACADEMY - K,DIIT - Project Connect,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,11/1/2019,DIIT,,DIIT,191927.00,0.00,DSF0000959903
18,K415,CULT ACAD ARTS AND SCI - BROOKLYN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001033597
18,K415,KURT HAHN EXPED LEARNING SCH - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,200000.00,0.00,DSF0001086113
18,K415,KURT HAHN EXPED LEARNING SCH - K,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001112704
18,K415,KURT HAHN EXPED LEARNING SCH - K,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001163180
18,K415,IT TAKES A VILLAGE ACADEMY - K,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,4/13/2023,DOER,,DOER,57318.00,0.00,DSF0000961206
18,K415,IT TAKES A VILLAGE ACADEMY - K,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,10/7/2022,DOER,,DOER,150483.00,0.00,DSF0000961207
18,K415,KURT HAHN EXPED LEARNING SCH - K,DOE - RESOA,FY22 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001033589
18,K415,KURT HAHN EXPED LEARNING SCH - K,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001035563
18,K415,IT TAKES A VILLAGE ACADEMY - K,DOE - Skilled Trades,AUDITORIUM STAGE RIGGING,Construction,In-Progress,12/9/2019,DOES,,DOES,27299.00,10219.00,DSF0000960512
18,K415,IT TAKES A VILLAGE ACADEMY - K,DOE - Skilled Trades,REPLACE (3) GALVANIZED WATER MAINS & CURB VALVES,Construction,In-Progress,3/31/2022,DOES,,DOES,246870.00,16921.00,DSF0001015190
18,K415,IT TAKES A VILLAGE ACADEMY - K,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,8/22/2024,DOES,8/30/2024,DOES,65832.00,10361.00,DSF0001084898
18,K416,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,FY25 RESO A ATHLETIC FIELDS,Scope,In-Progress,2/28/2025,6/27/2025,,0,58758.00,27626.00,DSF0001112703
18,K416,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,FY25 RESO A ATHLETIC FIELDS,Design,PNS,PNS,PNS,PNS,105000,46242.00,8476.00,DSF0001112703
18,K416,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,FY25 RESO A ATHLETIC FIELDS,Construction,PNS,PNS,PNS,PNS,1540000,1540000.00,0.00,DSF0001112703
18,K416,CULT ACAD ARTS AND SCI - BROOKLYN,SCA CIP RESOA,FY25 RESO A ATHLETIC FIELDS,"CM,F&E",PNS,PNS,PNS,PNS,105000,105000.00,3062.00,DSF0001112703
18,K416,KURT HAHN EXPED LEARNING SCH - K,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001086116
18,K416,IT TAKES A VILLAGE ACADEMY - K,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/22/2025,DIIR,5/21/2025,DIIR,100000.00,100000.00,DSF0001112705
